Transfers of major conventional arms from All countries  to Australia  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 29 Aug 2025 3:01:25 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,Austria,2018,,8,,DA40,light aircraft,8,,2019,New,DA40NG version; for training; incl 6 from Canadian production line,0.15,1.2,1.2
Australia,South Korea,2004,,1,,Delos,tanker,1,,2006,New,AUD50 m ($35 m) deal (modified for AUD60 m in Australia to replenishment tanker); Australian designation Sirius,30,30,30
Australia,United States,2007,?,6,,LM-2500,gas turbine,6,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,7,42,42
Australia,United States,2007,?,6,,ship engine,ship engine,6,,2017; 2018; 2020,New,Caterpillar (6120hp) diesel engine for 3 Hobart destroyers from Spain; from production line in Spain,2.5,15,15
Australia,Canada,1964,,7,,DHC-4 Caribou,transport aircraft,7,,1966,New,,3.75,26.25,26.25
Australia,Italy,2012,,10,,C-27J Spartan,transport aircraft,10,?,2015; 2016; 2017; 2018,New,AUD1.4 b ($1.4 b) 'Project Air-8000 Phase-2',16,160,160
Australia,United Kingdom,2021,,33,,Adour,turbofan,0,,,New,For modernization of 33 Hawk-127 trainer aircraft; Adour-951 version; delivery planned by 2025,1.3,42.9,0
Australia,United States,2007,,4,?,ScanEagle,UAV,4,?,2007,New,Leased for use in Iraq and Afghanistan and Iraq,0.04,0.16,0.16
Australia,France,2003,,300,?,MU-90 IMPACT,anti-submarine torpedo,300,?,2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017,New,EUR150 m 'Joint Project-2070 Djimindi Phase-3' (incl up to 35% of components produced in Australia),0.5,150,150
Australia,United States,1998,,81,,LAV-25 turret,infantry fighting vehicle turret,81,?,2003; 2004; 2005,New,For 81 Piranha-2 (LAV-25 or ASLAV) infantry fighting vehicles from Canada; produced under licence in Australia,0.6,48.6,48.6
Australia,United States,1951,,111,,F-86 Sabre,fighter aircraft,111,?,1956; 1957; 1958; 1959; 1960; 1961,New,Version modified in Australia with UK engine; Australian designation CA-27 Sabre; incl 21 Mk-31; 21 Mk-31 and 69 Mk-32 version,3,333,333
Australia,United States,2010,?,3,,Mk-45-4 127mm,naval gun,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,7.5,22.5,22.5
Australia,South Korea,2023,,129,,K-21,infantry fighting vehicle,0,,,New,'Project Land-400' or 'Mounted Close Combat Capability'; incl production under licence in Australia; delivery planned 2027-2028,1.7,219.3,0
Australia,Canada,1992,,33,,Piranha-2,infantry fighting vehicle,33,?,1994; 1995; 1996,New,Part of $88 m 'Project Land-112 Phase-2' or 'ASLAV programme Phase-2'; LAV-25 version; most assembled from kits in Australia; Australian designation ASLAV-25,0.27,8.91,8.91
Australia,United Kingdom,1957,?,4,,Rothesay,frigate,4,,1961; 1962; 1963; 1964,New,Produced under licence as River class,110,440,440
Australia,United Kingdom,1966,?,2,,River,frigate,2,,1968; 1969,New,Procuced under licence in Australia,110,220,220
Australia,United Kingdom,1951,?,50,,Canberra B-2,bomber aircraft,50,?,1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958,New,Canberra B-20 version; incl 48 assembled from kits in Australia and 2 Canberra T-21 trainer version,8.5,425,425
Australia,United Kingdom,1951,,40,,Vampire T-55,trainer aircraft,40,,1952; 1954,New,Incl 35 Vampire T-33 and 5 Vampire T-35 version,2.25,90,90
Australia,Italy,1994,,6,,Gaeta,MCM ship,6,,1999; 2000; 2001; 2002,New,$515-636 m 'Sea-1555' programme; Australian designation Huon,57.5,345,345
