Transfers of major conventional arms from Australia   to All countries . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 28 Aug 2025 4:07:21 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Papua New Guinea,Australia,1980,,2,,Nomad Searchmaster-B,maritime patrol aircraft,2,,1982,New,$4.7 m deal,2,4,4
Papua New Guinea,Australia,1980,,2,,C-47 Skytrain,transport aircraft,2,,1981,Second hand,Second-hand,1,2,2
Philippines,Australia,2015,,2,,Balikpapan,landing craft,2,,2015,Second hand,Second-hand; aid,3.2,6.4,6.4
Philippines,Australia,2015,?,3,,Balikpapan,landing craft,3,,2016,Second hand,Second-hand; PHP270 m ($5.8 m) deal,3.2,9.6,9.6
Philippines,Australia,1979,,1,,Nomad,light transport aircraft,1,,1980,New,N-22B version,1.5,1.5,1.5
Philippines,Australia,1974,?,11,?,Nomad,light transport aircraft,11,,1975; 1976,New,N-22B version,1.5,16.5,16.5
Philippines,Australia,1989,,3,?,Nomad,light transport aircraft,3,,1990,Second hand,Second-hand; $5.3 m deal; N-22B version,0.6,1.8,1.8
Singapore,Australia,2009,,100,,R-600,iinfantry fighting vehicle turret,100,?,2010; 2011,New,AUD28 m ($22 m) deal; for 100 Terrex infantry fighting vehicles produced in Singapore,0.6,60,60
Singapore,Australia,2012,,35,?,R-600,iinfantry fighting vehicle turret,35,?,2012; 2013,New,AUD25 m ($27 m) deal; for Terrex infantry fighting vehicles produced in Singapore,0.6,21,21
Solomon Islands,Australia,2014,,2,,Guardian,patrol boat,2,,2019; 2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,14,14
Solomon Islands,Australia,1989,?,1,,ASI-315,patrol boat,1,,1991,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Solomon Islands designation Lata,6,6,6
Solomon Islands,Australia,1985,,1,,ASI-315,patrol boat,1,,1988,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Solomon Islands designation Lata,6,6,6
Sri Lanka,Australia,2022,?,1,,King Air,light transport aircraft,1,,2024,Second hand,Second-hand; possibly aid; King Air-350 version; for maritime patrol,1.14,1.14,1.14
Sri Lanka,Australia,2014,?,2,,Bay,patrol boat,2,,2014,Second hand,Second-hand; aid,2.6,5.2,5.2
Sweden,Australia,2003,,2,,Saab-340,transport aircraft,2,,2003,Second hand,Second-hand; Saab-340BPlus version; Swedish designation Tp-100C,2.8,5.6,5.6
Thailand,Australia,1984,,1,,Nomad Searchmaster-L,maritime patrol aircraft,1,?,1985,New,For anti-piracy patrols; financed by UN High Commission for Refugees,2.5,2.5,2.5
Thailand,Australia,1983,,6,,Nomad,light transport aircraft,6,,1984,New,Possibly second-hand; N-24A version,1.5,9,9
Thailand,Australia,1981,,21,,Nomad,light transport aircraft,21,?,1982; 1983; 1984,New,$33 m deal; possibly incl 4 second-hand,1.5,31.5,31.5
Timor-Leste,Australia,2017,?,2,,Guardian,patrol boat,0,,,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,14,0
Tonga,Australia,2014,,2,,Guardian,patrol boat,2,,2019; 2020,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,14,14
Tonga,Australia,2014,,1,,Forgacs 30m,landing craft,1,,2015,New,Aid; Tongan designation Late,5.4,5.4,5.4
Tonga,Australia,1988,,3,,ASI-315,patrol boat,3,,1989; 1990; 1991,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Tongan designation Neiafu,6,18,18
Trinidad and Tobago,Australia,2008,,6,,Austal-30m,patrol boat,6,,2010,New,For coast guard,4,24,24
Trinidad and Tobago,Australia,2019,,2,,Cape,patrol boat,2,,2021,New,AUD126 m ($85 m) deal; for coast guard; Trinidad designation Port of Spain,16,32,32
